Latitude,Longitude,Quality,Reviews
8.907,76.57733,4,Want to share mine n my family super happy experience of staying in this hotel in not so big n popular place adding to cherished luving memories Special welcome on arrival n courteous efficient check in by Ms Preethy she was so much helpful elegant n very professional Complimentary Arrangements to watch final boat race and boat ride with excellent food in restaurant headed by F B manager added to wonderful experience I give excellent to everything but nothing to complaint big thanks to Ms Preethy n team%%#%%We stayed a couple of days here after trekking in Periyar Was nice to get a bit of luxury after being out in the wilds However the place isnt very relaxing as the staff and service we found a bit over the top The room was very spacious and clean but smelled of cigarette smoke and we were above a staff entrance that was used through the night Aside from that the facilities and activities were a bonus The view over the river and gardens are really nice and peaceful Good food too buffet breakfast was vast %%#%%We had a great holiday at Raviz which has rooms facing Ashtamudi lake Very friendly staff excellent food class rooms good WiFi and good SPA facilities all at a very reasonable price One of the best holidays we ever had %%#%%After Alappuzha i reached Kollam Traditional Welcome and drink were awasome Room were with view of asthamudi kayal and pleasent too Morning free buffet breakfast and Evening snacks were the best compared all hotels in kerala Hotel got good green space for walking and swimming pool also Restaurant with open area and buffet is cheaper compared to other 5 star hotels Also is got a floating boat restaurant for romantic evening On whole The best Hotel i stayed ever%%#%%Hi I have Gifted Honeymoon Package for Friend wedding for this hotel they are very happy this hotel excellent stay food and Location good support Staff and Nice receiving enjoying This trip Thanks ITC people launching new property in kerala%%#%%
9.03,76.63,4,I can proudly say am from Kollam and the queen of lakes is in my district Sasthamkotta is a well known fresh water lake Its around 30km from Kollam city There is nothing special out there but the walk on shores feels good When we talk to the old locals we will get the clear picture of the lake in old days i can sadly say the lake is dying There is no conservation measures from the officials I visited there 2 times with my friends First visit i enjoyed lot and the second time it hurt me lot i can see dry lands where i sit and do fishing on my first visit Really want the officials to preserve this good Backwater The wast lake is good for boating Locals are good to interact Its a good place for a casual visit Lots of tourism possibilities are there Be careful on walking through shores in some places its muddy and shallow we get trapped %%#%%Nothing much to do except for just walking around Suggest carry items for picnic as there are no good eateries around Interacted witha lot of locals who said that the lake is shrinking due to faulty conservation policies The cliffs on the side of the lake are protected with coir netting which looked visually different and nice %%#%%My visit to lake was with my friends I heard a lot about this lake and wanted to visit But speaking I hated to see how the lake is dying vehicle washing encroaching %%#%%A must go the clean water lake rich greenery surrounded very nice place there are good hotels and resorts available a must visit in Kerala%%#%%It was a good experience to see the keralas only one fresh water lake It is very to see the temple near by the lake the famous Aiyyappa temple where the monkey feeding is occurred %%#%%
8.900888,76.568695,4,We visited this restaurant during our stay in Kollam It is a part of Hotel Raviz The plce is nice We ordered a la carte I was a little disappointed to see limited variety for vegetarian food in a la carte though buffet had good variety We ordered Italian and Chinese The service was a little slow but i was amazed by their hospitality While we were waiting for our order the waiter Sabin gave us complimentry testing of select buffet items That was something unexpected and speaks a lot about their efforts in achieving customer satisfaction The food we ordered was decent but the hospitality was something that made it a great experience %%#%%A decent Sit down restaurant is a rarity these days in Kollam Therefore when it was time for a family dinner I chose The Riverside About the experience going by various key aspects 1 Location Close enough to the town yet distant Decent parking options Approach road is a bit too narrow though Full marks here 2 Ambience While the restaurant decor is not that great the hotel and it s grounds are very beautiful Also the seats on the terrace provide a great view particularly on moon lit nights 3 Service This is the sore point Average service at best I was not able to get a recommendation even from the Waiter Service during the meal was also not up to the mark 4 Food The Menu had a wide range Tried quite a few dishes and liked all of them However none of the dishes felt remarkable A case of being good but not great Despite the overall average ratings I recommend the Riverside because of the beautiful setting overlooking the Ashtamudi Lake and the traditionally themed gardens This makes it a great place for a family outing on cool evenings if you end up going to the Riverside I strongly recommend a long walk around the hotel as the food gets prepared It will be quite an experience particularly on a bright moonlit night %%#%%Its in the WelcomHotel Raviz Happened to eat there as I was staying Food is good with lot of variety Most likely the best restaurant in Kollam %%#%%We stayed at the hotel and were able to enjoy a fantastic Chinese Thai lunch Italian Indian fusion dinner and a good spread continental breakfast buffet The team was able to customize the food to suit our taste buds and the service was impeccable Would highly recommend dining at this restaurant %%#%%Grilled Butter Lemon Fish is mouth watering as also Prawns Kandhari Vegetable Stew is also good and for Non Vegetarians Fish Moily and Mutton Seekh Kabab are also very tasty%%#%%
8.889061,76.59058,4,This is my second Visit to Kollam This time one of my friend had booked this hotel for me Since I had a bad impression about hotels in Kollam I didnt expect much But surprisingly this hotel was too good for a business class stay %%#%%The hotel location is superb Heart of the city Its very clean and the whole property is perfectly maintained The food is also good compared to the basis food available in South The breakfast was filling and good too The rooms nice clean and comfortableThanks for the wonderful stay %%#%%Being the first trip to Kollam so had my colleague book a hotel in advance He had goofed up as expected and when I arrived at the Hotel there wasnt any reservation The person at reception was kind enough to help me with a spot booking requesting me that I may have to shift to another room if need arises The hotel is just three kms away from Railway station in Chinnakada junction has got a towering presence from outside around eight stories and my room at 6th Taking the stairs to reach the lobby wasn t so encouraging The room is the most spacious I have seen in recent times I was wondering if they made some mistake while planning The bathroom had a bathtub and even otherwise was spacious At the package I availed breakfast was not added and found out that having food there is costly and may not make your taste buds happy The room service was ok and even had a good greeny view of Kollam from the room With corporate discount the room was value for money %%#%%We actually booked to stay at another hotel I was driving we arrived very late at kollam The hotel we booked was not satisfactory it was 3 O clock in the morning we were so tired we came across this hotel I just had a look at these rooms it was good The food was good it has a restaurant below the staff were very helpful and most important thing is these rooms are massive If I am staying in a room like this in a star hotel I am pretty sure it would cost me about 300 The toilets were clean%%#%%This is my second Visit to Kollam but during my first visit I had a bad experience of a different hotel This time one of my friend had booked this hotel for me Since I had a bad impression about hotels in Kollam I didnt expect much But surprisingly this hotel was too good for a business class stay With banks in the Ground floor your business is also easier The rooms were very spacious than u could imagine and the beds gave a comfortable sleep The location of this hotel is also a added credit to this place close to railway station and bus stops%%#%%
8.888641,76.59064,3,Well taken care Neat room given Good food Only thing our return train timing was 12 30 pm They asked us to vacate at 9 am after giving only one hour grace Having stayed for 4 days another 3 hours should have been given for room stay OK This is not a complaint but an ideal hospitality That is all %%#%%front office staffs are very help full and very friendly with me and family The hotel is located in center of city just walk able distance from the railway station The restaurant have very good quality and taste food we can get%%#%%This Hotel is located in the centre of town The facade is very good and even the reception is very spacious the rooms are OK But dont do there expecting luxury or 5 star comforts Bare to Bones kind of Hotel and is a bit overpriced This price you have to pay for the location I guess%%#%%Arrived in Kollam and need a place to stay for a night pleased to say we found the Shah For the price its more than adequate rooms not spotless but clean AC fans and TV all in working order Showers had moderately hot water towls and soap but no loo rolls Food in the restaurant was good given the price Staff on reception were very helpful especially Viswan If you just need a place for a night or two is is an OK hotel and I would stay again if needed %%#%%Not much options around we had booked in this hotel Went down for a marriage the rooms are not very clean the restaurant food tood a long time to arrive Food quality is not good Bathrooms in teh rooam are ok not well maintained At night opposite room had a lot of people having drinks and was very noicy Management did not take action even after repeated complaint Ok for single stay not recommended for family%%#%%
9.15,76.5086,4,This palace is lovated near to the place Kayamkulam From kayamkulam to trivandrum NH47 you can find the place Krishnapuram From that stop you can divert to a small road to reach this beautiful palace You can find the beautiful cinstruction of this palace Inside is very neat and tidy A lot of valuable historical things mural pintings and the hilight is beautiful pond I think you must visit this palace and you can realize how worthy is our tradition %%#%%Krishnapuram Palce is a must see For the local people to understand the beauty of our Architecture and building skills We have forgotten these skills because we go after uncomfortable and expensive new design Even without fans the old houses are cool and comfortable while the modern houses are hot even with fans For all foreign tourists this is a must see because it not only shows the typical Kerala architecture and the intricate wood work but also the way the people and the Royals lived The palace is so simple but so elegant A comparison with palaces in the rest of India and other parts of the world is of academic interest It tells how simple the Maharajas were The people who work at the Palace as guides are also very nice They explain well Only wish they would be trained in better English I have always thought that the entrance fee to such museums in Kerala should be increased At three rupees some years ago to ten rupees now I think it is nowhere near what is spend on the upkeep discounts could be offered to school children and other groups Wish more such buildings were taken over by the Government archeological department for posterity %%#%%This palace is exactly in my native place I visited many times this place when i was a kid I used to play cricket in the ground next to the Palace and i remember we always damaged the roof of the palace and the fences around it As i grown i realized the importance of this palace in the history of my place The mural painting here is one of the rare you can see anywhere A must visit place i will say %%#%%It is a museum located in Kayamkulam built in the 18th century by H H Anizham Thirunal Marthanda Varma of the Travancore Kingdom It is an ideal tourist attraction near Kollam Kerala %%#%%
8.875244,76.59241,2,Have been to this restaurant thrice And why thrice Well we like the ambience here Thats all The food is not at all up to the mark Tried both the Buffet and a la carte but didn t find anything too good Guess their speciality is North Indian food cause it tasted better than the local cuisine %%#%%
8.875244,76.59241,4,The setting is very good to be in The bar does not offer too much varieties of anything The menu of the bar is very limited in many sections The view from the bar is splendid and its worth the time spend %%#%%This is the bar of the Kollam Beach Hotel and I went there a couple of times to enjoy the bar Service was good and prices affordable The view of the beach from the bar was good and each time I went for an early evening stroll on the beach and watched the local people at play before visiting the bar The hotel and bar are just a 30 rupees ride in an auto rickshaw from the centre of the town %%#%%Very nice view of the beach I went in the evening then the view of the Kollam beach is very good It has an excellant ambience and wellstocked bar It has both imported and indian made available%%#%%
9.178309,79.41594,4,Out of this world a place one must see before they die carry an umbrella if you are prone to heat stroke Personal cars not allowed after a point if you are in a group take a gypsy from the town Rameswaram as the tempo drivers do not allow gypsys to be hired right outside the entrance Tempo accomodates 15 ppl and the cost is 2k if u hire the whole tempo and gypsy 1 4k However riding the tempo gives u a better view while entering the landsend %%#%%A wonderful place Very serene calm and pleasant Have to go there crouched up in a tempo Amazing experience %%#%%The beach is a one of the major tourist landings in rameswaram This was a city earlier which was destroyed in a flood%%#%%One of my favorite place in Tamil Nadu Especially the Beach is unbelievable Two of the biggest oceans meet together and the water is very pure You can see the ruins of the old Dhanuskodi town which destroyed in the cyclone in the 60s I like beaches Deserted location and less crowd away from the temple Hire a Jeep or SUV and enjoy the view %%#%%I couldnt take bath in it but it was a wonderful experience of coastal drive Must once in life at least %%#%%
9.2333,79.348,4,Sri Rama Sharnam mamah Any one who reads Sunderkand from the Ramayana is deeply in love with the entire Rameswaram The visuals from the book start becoming real when you are travelling there Kothandaramaswamy temple is one among the few other places that a religious reader would be able to relate to and will fall in love with it %%#%%
