
ID,Latitude,Longitude,Quality,Reviews
103636,41.151665,-71.55683,5,My wife and I went to Mohegan Bluffs in late October and we were the only two people there It was a fantastic experience at an amazing site You really cant imagine how beautiful this place is until you see it in person We could have spent all day there Put this place on your must see list %%#%%You have to take the stairway down and back to see these awesome bluffs reaching out to the Atlantic Ocean Great vista to see the bluffs and scenery around them Totally a majestic place to be and just take in all its goodness When you go to Block Island this is a must see %%#%%We took a tour of the island that included the bluffs and really enjoyed the sights Would recommend taking a tour if you are not riding a moped around the island %%#%%It takes a bit of work to get out there but the view is breathtaking The beach and bluffs look untouched like howthey may have looked thousands of years ago Cool place to go in the water but not if you need to bring blankets coolers little children etc b c there are a million stairs %%#%%The history is that the Mohegans crossed over and attacked the local Indian tribe who pushed back and in the process pushed some of them off of these cliffs to the rocks below We went down the 164 or so steps and then back up to the beach which is rough and rock strewn Theres a rope down there to pull yourself back up Bring your trekking poles %%#%%
103639,41.165123,-71.56038,4,We were only able to travel a few miles along this trail but it brought us to meadow and farms along a meandering route through woods hills and dales and was a fun side trip from the main road Highly recommend it %%#%%Crescent Beach is a hidden gem on Block Island It is located north of the Town Beach which has a pavillion with facilities and Scotch Beach a popular beach for boaters in the New Harbor Crescent Beach is East facing so you are looking at open ocean for miles Access is limited so you either park at Scotch Beach and walk north or Mansion Beach and walk south %%#%%one of the trails near the airport had a field of milkweed which had many monarch butterflies fluttering by%%#%%Walking trails abound within Block Island You have to do some research to find out where they are but serenity and the undisturbed sounds of nature await you One thing that we noticed was the prevalence of stone walls My husband became curious and got a book about stone walls in New England Apparently most of the stone walls on Block Island were built by slaves in order to earn their freedom Theres an overabundance of deer on Block Island so you need to be sure to take precautions against deer ticks when venturing into the woods %%#%%BI is covered with greenway trails There is no map but you will see stone markers or wooden signs that say greenway They crisscross the island bringing you to hidden gems open fields streams stonewalls sweeping views One popular one is located across from the airport Make sure you read about the glass globe hunt going on now on www blockislandinfo com We never miss a chance to walk these well maintained trails %%#%%
145866,41.15271,-71.5595,4,How many sailors buffeted by violent Atlantic storms silently thanked their maker when they saw the Southeast Lighthouses fresnel lens refracting the light into the frigid ocean gloam It s a beautiful lighthouse Red brick solid graceful in a chunky stolid way Around 1994 or so I and my family watched it jacked up on to rails and millimeter by millimeter moved back off off its precarious perch on the bluff Now it s probably got another hundred years before the depredations of global warming and erosion put it once again at risk So don t waste time jump in your auto take the ferry and make your way to this piece of grand functional lifesaving architecture %%#%%We took a short walk to the lighthouse and were totally amazed of the beauty of this lighthouse Standing near the Mohegan Bluffs gives this lighthouse a serene atmosphere this is a must take when on Block Island %%#%%We saw this lightouse from a distance in the pictures it looks like it is a short walk but it is quite a walk though the sand it is ork the walk but allow time or you can go as far as you want to get a good picture %%#%%The view and the experience was a piece of heaven We will be back definitely Take your time and just soak it all in Put the cameras away and ENJOY THE MOMENT %%#%%We were married here 4 years ago It is such a beautiful tranquil spot The lighthouse has a neat history and is gorgeous The views from up top are spectacular Take the tour inside few dollars it is worth it %%#%%
220159,41.17172,-71.55764,3,Exceeded my expectations from the excellent service to the farm to table deliciousness I would recommend to anyone Being in the hospitality industry for years I was pleasantly surprised at the whole vacation experience World traveler Babs %%#%%Want to feel at home This island and hotel bring peace tranquility and a splash of panache all in one Perched high above ocean view with amazing sunrise and sunset views A must see Experience the hotel built in 1852 that has local flare of friendship and a true ambience of welcoming the off islanders Added bonus they grow all vegetables served in restaurant %%#%%We were here for a wedding and loved staying at the Spring House It is impeccably maintained and the staff is lovely This is not a place to stay if stairs are difficult for you there is not an elevator If you need help with your luggage you must ask otherwise its quite a climb Our room was wonderful in a corner overlooking water views Double bed very comfy quite breezy Armoire for a closet and the floors are on quite a slant so you need sea legs to brush your teeth but the bathroom was huge and everything was sparkling The complimentary breakfast is perfect quiche fresh fruit great orange juice danish pastries bagels yogurt self service and seating in a charming sunroom or outside on the huge wraparound porch The reception was at the hotel and the dinner was excellent The grounds are as nicely maintained as the building and there is a row of chairs on the lawn facing the ocean as well as very comfy chairs on the porch Parking is ample if you have a car if you don t it s a big walk uphill from the ferry to the hotel The staff is gracious and their care appears seamless no request is a problem and is taken care of promptly It is expensive for us it was an end of summer respite but it is pricey The bar is vast and there were lots of walk in patrons not just guests of the hotel It is beautifully decorated and was a treat for a weekend %%#%%We always get the room the has a balcony It has ample space for a family of four The rooms are nicely and tastefully decorated in a very New England way The patio and the grass area in front of the hotel provides the best view of the water It is sufficiently far from the main drag hence there is not a lot of crowd yet you are not too far from anything I look forward to our stay at the Springhouse This is the only place we will stay at whenever we are in Block Island %%#%%This was our familys first time to Block Island We couldn t be happier with this hotel We stayed at the Roth House witch was a small but adequate two room suite for the 4 of us The nicest part of our visit was relaxing in the adirondack chairs on the lawn overlooking the ocean The food and service was excellent My husband and I loved the old lounge bar inside This is an old hotel with lots of character We are going back for our anniversary weekend in October Can t wait %%#%%
251713,41.352196,-70.51572,4,My friends and I have been trying to plan a girls weekend for years I chose this property because it was on the water and looked very attractive We shared a one bedroom suite that had ample room for the four of us There was a full kitchen with all the necessary supplies There was a lot of charm to the grounds including an Alice in Wonderland life sized chess set The one criticism I had is that the dining room staff was preparing for a luncheon at the same time they were serving breakfast and they were flustered and disorganized This would not keep me from enjoying another stay here %%#%%My wife and I travel a fair amount usually 3 4 trips annually with family and just the two of us I do my homework so as not to get burned This is a family resort We have 11 grandchildren so were comfortable in this kind of environment 1 Staff Beyond excellent friendly competent attentive From the reservation lady who worked hard to get our reservations handled to the gentleman who took us to the boat dock and explained how you fish for scallops 2 Site Beautiful and well maintained Spotlessly clean 3 On site amenities Here were the problems Restaurant they have an excellent restaurant but only for dinner Lunch is a limited fare at the pool and there s no breakfast seating at all There is a general store with limited choices but nowhere to sit Oceanside the resort is about 1 2 mile from the beach You walk a path through the bush over a bridge and then cross a road to get to the sand Two pools Yep but one is about 1 2 mile away from the main hotel at their townhouse section 4 Location this is not a Winnitu issue Shame on me I thought we could do without a car and maybe you can if you re staying in town This resort is at the end of the island and a distance from just about everything They provide very frequent shuttles to Edgartown But if you want to go other places you need a car Why not for boomer couple it s at least not for this boomer couple The lack of dining facilities was a big downer as was the trek to the beach I guess because there s cooking facilties in most units the thinking is there s little need for a real breakfast or lunch place Am I being picky I don t think so It was expensive highly rated and I had high expectations %%#%%My husband and I stayed at the Winnetu for a few days after Columbus Day weekend which is our favorite time to travel to New England the Cape and now Marthas Vineyard because most of the tourists are leaving or in the process of doing so We picked the resort because of the close proximity to Edgartown and South Beach and all of it was a very pleasant surprise We arrived on the Vineyard Monday morning did a little exploring and were able to get into our room West Chop Suite on 3rd floor earlier than expected The suite was lovely and the best part was that we could hear the ocean even though it s about 250 yards from the hotel It was well appointed comfortable clean and the kitchenette was stocked with anything you might need for cooking eating in if that is what you want to do Since there were so few guests in the hotel for the next few days we felt like we had the place to ourselves The staff was so friendly accomodating willing to help with anything and to answer all our questions We spent one day exploring the island and then decided to spend most of our time walking on the beach sitting and staring at the ocean or reading I bet we didn t see 20 people on the wonderful South beach the entire stay The homes in Edgartown are amazing I could have spent the entire 4 days just wandering through town and taking pictures of all the gorgeous houses and gardens One of the problems with traveling after Columbus Day is a lot of shops and galleries are closed but it was great to be able to walk on the streets and really look at everything without fighting the summer crowds Our one big surprise about Martha s Vineyard skunks Apparently they are everywhere We saw them on the street in downtown Edgartown and a couple headed toward the pool one evening after dinner You can see their tracks on the beach so for that reason and the deer ticks we didn t wander off the path from the hotel to the beach or any other path on the island for that matter Winnetu is well set up and obviously caters to families We hope to return next October with our family which won t be as relaxing as this past trip but it will be fun Bottom line Winnetu is a great place to visit if you go when we do please don t book our favorite suite %%#%%The service was excellentThe room was very clean and gave a feeling of being at home The resort is located within walking distance of the best beach on the island its removed from the downtown area so it s peaceful and they have everything you need at the resort so if you didn t want to leave you d be all taken care of We can only say good things because the overall service cleanliness and accommodations were phenomenal %%#%%We loved our stay at the winnetu There are so many activities for children We travelled with our 16 month old son and he had a great time They have a lot of toys you can use for the pool or beach also We enjoyed the fire truck rides and the cookies in the afternoon The walk to the beach was far if you have to carry your child and the beach supplies Sometimes we just drove instead The rooms were nicely decorated and clean The staff was very friendly %%#%%
254607,41.17235,-71.55565,3,My wife and I stayed here a few weeks back as part of a short weekend get away Overall the hotel is pretty neat We were there in the off season so alot of places were closed or were closing up but still we enjoyed ourselves and felt like we had the Island to ourselves For historic structure junkies like myself this hotel is very old yet it has all the amenities Be forewarned however the rooms do get warm and if you crack the windows it gets loud I didnt notice this since I m a guy and can sleep through anything however my wife noticed it Breakfast was ok nothing to write home about The staff was friendly and accommodating They have bike racks available and you can leave your bags at the front desk to explore the island after you check out We came in on the Montauk Ferry which is on the other side of the Island however its only a short 15 minute bike ride away We d return %%#%%We had always wanted to stay at the National and were delighted with the accommodations Particularly the corner rooms overlooking the harbor However the continental breakfast was mediocre at best and opened way too late Most guests were waiting in the lobby for 8AM to arrive so we went down the street to the bakery for coffee When we returned breakfast consisted of some fruit and a store bought muffin We should have eaten at the bakery %%#%%I came to Block Island the first time back in 1991 and keep coming back I love this hotel because it is so quaint and old fashioned The rooms are small and extremely clean Our room faced the harbor and it was so nice waking up to see the water and the boats Hotel is so close to the harbor and to many restaurants and shops We had breakfast at the hotel and it was really delicious Pancakes were awesome and the eggs were so fresh I thought they just came out of the chicken We also had dinner here and were not disappointed The fish was also so fresh it had to be caught that day We went to the beach after breakfast and spent the day there in total awe of the wonders of the ocean After dinner we sat in the back of the hotel where they had a few fire pits lit up to keep us warm I slept like a baby at this hotel and did not need fancy amenities like I thought I would All in all what I needed was a really clean bed and clean bathroom and got it all here I will definitely return %%#%%What a great location We went to Block Island for the first time for our anniversary weekend and had a very nice time Al lot of places were closed but I was not aware that the restaurant lounge at the National were closed and was not informed of this when I booked the hotel This was a big disappointment The hotel location was perfect for what we were looking for especially coming in on a rainy day We were able to cross the street to be warm and dry The room was what we expected small but clean Front desk staff were very nice and helpful Breakfast was continental with muffins juice coffee and cereal We walked to a couple of great restaurants and shopped the area Overall a nice time but do wish we has been told beforehand of the lack of amenities %%#%%My wife and I stayed one night at the National Hotel a historic 1800s hotel If you are a history buff this is for you The hotel is the real McCoy so if you are into modern Marriott this is not for you The rooms are small but are authentic The front rooms have a wonderful view of the harbor Rooms have an overhead fan and table fan but do not have A C This may be an issue in summer heat Our room was spotless Check in was great smooth and easy The staff were helpful and genuine We enjoyed breakfast on the front porch The included breakfast consisted of juices fresh cut fruit coffee tea a variety of cold cereals and fresh muffins it was described as a light continental breakfast and met the need A luggage room is available so you can leave your bag and enjoy a day on the island Overall we enjoyed our stay and will consider a future return %%#%%
270139,41.353004,-70.76508,4,At Mememsha Beach the sunset is a celebration If you ever go to Marthas Vineyard be sure to set one evening aside to capture one of the greatest sunsets you will ever see Make sure to bring shoes or sandals though as the beach is rocky %%#%%Sure you can swim there but its the sunsets the chance to walk or fish on the jetties amble along the shoreline looking for shells catch glimpses of the Elizabeth Islands off in the distance and stroll down the wharf to see the fishing boats bring in the catch that are the real calling cards of this beach Plus you can buy excellent lobster and clam chowder at the local fish market and eat them on the spot or bring them home for dinner You ll love it all %%#%%We were recommended to go and watch the sunset on Menemsha beach We got there about 6 30 with a bottle of wine and brought hot lobster buttered rolls from the fish market which were the best Ive ever tasted We had a couple of low chairs to sit on and we joined everyone on the beach to watch the sun set Well what can I say it was absolutely beautiful I can t think of enough words to describe it When it set everyone got to their feet and clapped it took your breath away Stay for an hour or so after the sun has set because the different colours and shapes are remarkable If you re visiting Martha s Vineyard this is a must you would be foolish to miss it %%#%%I joined the many people who were gathered to watch and photograph the sunset It did NOT disappoint WOW I got some gorgeous shots Afterwards really enjoyed eating at the Menemsha Fish Market %%#%%Picnic on the beach with friends and family and enjoy Godcreation We were so mesmerized by the sunset and calm atmosphere Folks had either their chairs or blankets watching in amazement at the sun appearing as if it laid in on the ocean for a few minutes as it made its exit Awesome %%#%%
313361,41.342987,-70.81264,4,The view from above the cliffs is beautiful Hard to take a bad photo But if you want to really want to see the cliffs park in the dirt parking lot just below the public restrooms and walk the short path to the beach The view of the lighthouse from below is even better than from above The smooth rocks and boulders make a great setting for a family photo or foreground scene for a sunset %%#%%Well worth the half hour drive from Edgarton to see these cliffs beautiful scenery and it was a lovely clear September day which was a bonus We were fortunate as there was one free hour parking space and its only a 3 minute walk past a few little shops It s 50cents to visit the loo but clean so worth it %%#%%During the third week of September I took the following pictures of the Acquinnah Cliffs between 8 30 10 30 am which show vibrant red orange yellow ochre and white clays The walk on the Moshup beach provides beautiful views looking up at the 150 foot tall cliffs The quality of early morning or early evening light saturates the clays colors During our visit we had the beach to ourselves and were able to feel the peace quiet and specialness of this place %%#%%We were last out to the cliffs 5 years ago and they still looked pretty good We went out this time for the Wampanoag Festival While its still a beautiful and peaceful place there has been a noticeable change in the cliffs due to erosion What was once colored in reds and oranges is now mostly white and gray The lighthouse is now in danger of collapsing so there s an effort to move it back from the cliffs I ve added photos to show the change %%#%%Aquinnah may be far from where you are staying on the island but it is definitely worth the car ride bus ride or even bike ride out there The cliffs are beautiful and the view that you get is amazing This is definitely a great place to go on MV %%#%%
313363,41.35172,-70.81723,4,It is a small island but big enough to get lost if you rent a bike get a map a choose properly the directions We loved the Gayhead Lighthouse nice place great pictures a lots of history and in the way stop to eat a baguette at the Outdoor Bakery a true French style outdoor Bakery with lots of delicious foods and a very nice staff %%#%%Drive to Aquinnah Circle park your vehicle walk up past the stores then veer to the right for the best views ever Be sure to have a camera%%#%%We only walked up to the lighthouse did not pay to go in However walking alongside the lighthouse gives you another closer great view of the cliffs %%#%%The view from the red brick Acquinnah Lighthouse is magnificent Sunset views taken from the deck of our B B show the lighthouse to perfection The classic view of the lighthouse located close to the edge of the Aquinnah cliffs underlines the need to move the lighthouse before it topples into the ocean The move is planned for spring 2015 %%#%%The lighthouse is beautiful place to go on the vineyard I would definitely go here and see the spectacular views %%#%%
313370,41.4703,-70.5675,4,loved this lighthouse and the view we were on the hunt for Crystal lake and found it had a wonderful day%%#%%Unfortunately it was not open to the public but the view was absolutely gorgeous Easy and quick access from Oak Bluffs via tour van %%#%%A favorite spot to stop on our annual visit here Over the years we have seen engagements happened here View quite spectacular as you drive around East Chop %%#%%Travelled on bike path from Oak Bluffs to the lighthouse and then on to Vineyard Haven Beautiful Oceanside views %%#%%East Chop Light is so pretty It is a true New England lighthouse and a must see if you come to the Vineyard Gorgeous views so bring your camera to take lots of pics %%#%%
